trip_id,driver_key,zone_key,date_key,start_utc,fare_sar,distance_km,duration_seconds,gps_event_count
SYN_T0018,SYN_D006,Z_DAMMAM,20260601,2026-06-01T05:10:00Z,22.85,5.05,900,3
SYN_T0019,SYN_D005,Z_DAMMAM,20260601,2026-06-01T07:10:00Z,24.10,5.40,1080,3
SYN_T0020,SYN_D006,Z_DAMMAM,20260601,2026-06-01T09:10:00Z,25.35,5.75,1260,3
SYN_T0021,SYN_D005,Z_DAMMAM,20260601,2026-06-01T11:10:00Z,26.60,6.10,1440,3
SYN_T0022,SYN_D006,Z_DAMMAM,20260601,2026-06-01T13:10:00Z,27.85,6.45,1620,3
SYN_T0023,SYN_D005,Z_DAMMAM,20260601,2026-06-01T15:10:00Z,29.10,6.80,1800,3
SYN_T0024,SYN_D006,Z_DAMMAM,20260601,2026-06-01T17:10:00Z,30.35,7.15,1980,3
SYN_T0025,SYN_D001,Z_RIYADH,20260602,2026-06-02T03:00:00Z,18.75,3.60,540,3
SYN_T0026,SYN_D002,Z_RIYADH,20260602,2026-06-02T05:00:00Z,20.00,3.95,720,3
SYN_T0027,SYN_D001,Z_RIYADH,20260602,2026-06-02T07:00:00Z,21.25,4.30,900,3
SYN_T0028,SYN_D002,Z_RIYADH,20260602,2026-06-02T09:00:00Z,22.50,4.65,1080,3
SYN_T0029,SYN_D001,Z_RIYADH,20260602,2026-06-02T11:00:00Z,23.75,5.00,1260,3
SYN_T0030,SYN_D002,Z_RIYADH,20260602,2026-06-02T13:00:00Z,25.00,5.35,1440,3
SYN_T0031,SYN_D001,Z_RIYADH,20260602,2026-06-02T15:00:00Z,26.25,5.70,1620,3
SYN_T0032,SYN_D002,Z_RIYADH,20260602,2026-06-02T17:00:00Z,27.50,6.05,1800,3
SYN_T0033,SYN_D003,Z_JEDDAH,20260602,2026-06-02T03:05:00Z,20.55,4.20,660,3
SYN_T0034,SYN_D004,Z_JEDDAH,20260602,2026-06-02T05:05:00Z,21.80,4.55,840,3
SYN_T0035,SYN_D003,Z_JEDDAH,20260602,2026-06-02T07:05:00Z,23.05,4.90,1020,3
SYN_T0036,SYN_D004,Z_JEDDAH,20260602,2026-06-02T09:05:00Z,24.30,5.25,1200,3
SYN_T0037,SYN_D003,Z_JEDDAH,20260602,2026-06-02T11:05:00Z,25.55,5.60,1380,3
SYN_T0038,SYN_D004,Z_JEDDAH,20260602,2026-06-02T13:05:00Z,26.80,5.95,1560,3
SYN_T0039,SYN_D003,Z_JEDDAH,20260602,2026-06-02T15:05:00Z,28.05,6.30,1740,3
SYN_T0040,SYN_D004,Z_JEDDAH,20260602,2026-06-02T17:05:00Z,29.30,6.65,1920,3
SYN_T0041,SYN_D005,Z_DAMMAM,20260602,2026-06-02T03:10:00Z,22.35,4.80,780,3
SYN_T0042,SYN_D006,Z_DAMMAM,20260602,2026-06-02T05:10:00Z,23.60,5.15,960,3
SYN_T0043,SYN_D005,Z_DAMMAM,20260602,2026-06-02T07:10:00Z,24.85,5.50,1140,3
SYN_T0044,SYN_D006,Z_DAMMAM,20260602,2026-06-02T09:10:00Z,26.10,5.85,1320,3
SYN_T0045,SYN_D005,Z_DAMMAM,20260602,2026-06-02T11:10:00Z,27.35,6.20,1500,3
SYN_T0046,SYN_D006,Z_DAMMAM,20260602,2026-06-02T13:10:00Z,28.60,6.55,1680,3
SYN_T0047,SYN_D005,Z_DAMMAM,20260602,2026-06-02T15:10:00Z,29.85,6.90,1860,3
SYN_T0048,SYN_D006,Z_DAMMAM,20260602,2026-06-02T17:10:00Z,31.10,7.25,2040,3
SYN_T0049,SYN_D001,Z_RIYADH,20260603,2026-06-03T03:00:00Z,19.50,3.70,600,3
SYN_T0050,SYN_D002,Z_RIYADH,20260603,2026-06-03T05:00:00Z,20.75,4.05,780,3
SYN_T0051,SYN_D001,Z_RIYADH,20260603,2026-06-03T07:00:00Z,22.00,4.40,960,3
SYN_T0052,SYN_D002,Z_RIYADH,20260603,2026-06-03T09:00:00Z,23.25,4.75,1140,3
SYN_T0053,SYN_D001,Z_RIYADH,20260603,2026-06-03T11:00:00Z,24.50,5.10,1320,3
SYN_T0054,SYN_D002,Z_RIYADH,20260603,2026-06-03T13:00:00Z,25.75,5.45,1500,3
SYN_T0055,SYN_D001,Z_RIYADH,20260603,2026-06-03T15:00:00Z,27.00,5.80,1680,3
SYN_T0056,SYN_D002,Z_RIYADH,20260603,2026-06-03T17:00:00Z,28.25,6.15,1860,3
SYN_T0057,SYN_D003,Z_JEDDAH,20260603,2026-06-03T03:05:00Z,21.30,4.30,720,3
SYN_T0058,SYN_D004,Z_JEDDAH,20260603,2026-06-03T05:05:00Z,22.55,4.65,900,3
SYN_T0059,SYN_D003,Z_JEDDAH,20260603,2026-06-03T07:05:00Z,23.80,5.00,1080,3
SYN_T0060,SYN_D004,Z_JEDDAH,20260603,2026-06-03T09:05:00Z,25.05,5.35,1260,3
SYN_T0061,SYN_D003,Z_JEDDAH,20260603,2026-06-03T11:05:00Z,26.30,5.70,1440,3
SYN_T0062,SYN_D004,Z_JEDDAH,20260603,2026-06-03T13:05:00Z,27.55,6.05,1620,3
SYN_T0063,SYN_D003,Z_JEDDAH,20260603,2026-06-03T15:05:00Z,28.80,6.40,1800,3
SYN_T0064,SYN_D004,Z_JEDDAH,20260603,2026-06-03T17:05:00Z,30.05,6.75,1980,3
SYN_T0065,SYN_D005,Z_DAMMAM,20260603,2026-06-03T03:10:00Z,23.10,4.90,840,3
SYN_T0066,SYN_D006,Z_DAMMAM,20260603,2026-06-03T05:10:00Z,24.35,5.25,1020,3
SYN_T0067,SYN_D005,Z_DAMMAM,20260603,2026-06-03T07:10:00Z,25.60,5.60,1200,3
SYN_T0068,SYN_D006,Z_DAMMAM,20260603,2026-06-03T09:10:00Z,26.85,5.95,1380,3
SYN_T0069,SYN_D005,Z_DAMMAM,20260603,2026-06-03T11:10:00Z,28.10,6.30,1560,3
SYN_T0070,SYN_D006,Z_DAMMAM,20260603,2026-06-03T13:10:00Z,29.35,6.65,1740,3
SYN_T0071,SYN_D005,Z_DAMMAM,20260603,2026-06-03T15:10:00Z,30.60,7.00,1920,3
SYN_T0072,SYN_D006,Z_DAMMAM,20260603,2026-06-03T17:10:00Z,31.85,7.35,2100,3
