zone_key,hour_utc,hour_local,trip_count,total_fare_sar,total_duration_seconds
Z_DAMMAM,2026-06-03T11:00:00Z,2026-06-03T14:00:00+03:00,1,28.10,1560
Z_DAMMAM,2026-06-03T13:00:00Z,2026-06-03T16:00:00+03:00,1,29.35,1740
Z_DAMMAM,2026-06-03T15:00:00Z,2026-06-03T18:00:00+03:00,1,30.60,1920
Z_DAMMAM,2026-06-03T17:00:00Z,2026-06-03T20:00:00+03:00,1,31.85,2100
Z_JEDDAH,2026-06-01T03:00:00Z,2026-06-01T06:00:00+03:00,1,19.80,600
Z_JEDDAH,2026-06-01T05:00:00Z,2026-06-01T08:00:00+03:00,1,21.05,780
Z_JEDDAH,2026-06-01T07:00:00Z,2026-06-01T10:00:00+03:00,1,22.30,960
Z_JEDDAH,2026-06-01T09:00:00Z,2026-06-01T12:00:00+03:00,1,23.55,1140
Z_JEDDAH,2026-06-01T11:00:00Z,2026-06-01T14:00:00+03:00,1,24.80,1320
Z_JEDDAH,2026-06-01T13:00:00Z,2026-06-01T16:00:00+03:00,1,26.05,1500
Z_JEDDAH,2026-06-01T15:00:00Z,2026-06-01T18:00:00+03:00,1,27.30,1680
Z_JEDDAH,2026-06-01T17:00:00Z,2026-06-01T20:00:00+03:00,1,28.55,1860
Z_JEDDAH,2026-06-01T20:00:00Z,2026-06-01T23:00:00+03:00,1,27.00,840
Z_JEDDAH,2026-06-02T03:00:00Z,2026-06-02T06:00:00+03:00,1,20.55,660
Z_JEDDAH,2026-06-02T05:00:00Z,2026-06-02T08:00:00+03:00,1,21.80,840
Z_JEDDAH,2026-06-02T07:00:00Z,2026-06-02T10:00:00+03:00,1,23.05,1020
Z_JEDDAH,2026-06-02T09:00:00Z,2026-06-02T12:00:00+03:00,1,24.30,1200
Z_JEDDAH,2026-06-02T11:00:00Z,2026-06-02T14:00:00+03:00,1,25.55,1380
Z_JEDDAH,2026-06-02T13:00:00Z,2026-06-02T16:00:00+03:00,1,26.80,1560
Z_JEDDAH,2026-06-02T15:00:00Z,2026-06-02T18:00:00+03:00,1,28.05,1740
Z_JEDDAH,2026-06-02T17:00:00Z,2026-06-02T20:00:00+03:00,1,29.30,1920
Z_JEDDAH,2026-06-03T03:00:00Z,2026-06-03T06:00:00+03:00,1,21.30,720
Z_JEDDAH,2026-06-03T05:00:00Z,2026-06-03T08:00:00+03:00,1,22.55,900
Z_JEDDAH,2026-06-03T07:00:00Z,2026-06-03T10:00:00+03:00,1,23.80,1080
Z_JEDDAH,2026-06-03T09:00:00Z,2026-06-03T12:00:00+03:00,1,25.05,1260
Z_JEDDAH,2026-06-03T11:00:00Z,2026-06-03T14:00:00+03:00,1,26.30,1440
Z_JEDDAH,2026-06-03T13:00:00Z,2026-06-03T16:00:00+03:00,1,27.55,1620
Z_JEDDAH,2026-06-03T15:00:00Z,2026-06-03T18:00:00+03:00,1,28.80,1800
Z_JEDDAH,2026-06-03T17:00:00Z,2026-06-03T20:00:00+03:00,1,30.05,1980
Z_RIYADH,2026-06-01T03:00:00Z,2026-06-01T06:00:00+03:00,1,23.00,480
Z_RIYADH,2026-06-01T05:00:00Z,2026-06-01T08:00:00+03:00,1,19.25,660
Z_RIYADH,2026-06-01T07:00:00Z,2026-06-01T10:00:00+03:00,1,20.50,840
Z_RIYADH,2026-06-01T09:00:00Z,2026-06-01T12:00:00+03:00,1,21.75,1020
Z_RIYADH,2026-06-01T11:00:00Z,2026-06-01T14:00:00+03:00,1,23.00,1200
Z_RIYADH,2026-06-01T13:00:00Z,2026-06-01T16:00:00+03:00,1,24.25,1380
Z_RIYADH,2026-06-01T15:00:00Z,2026-06-01T18:00:00+03:00,1,25.50,1560
Z_RIYADH,2026-06-01T17:00:00Z,2026-06-01T20:00:00+03:00,1,26.75,1740
Z_RIYADH,2026-06-01T20:00:00Z,2026-06-01T23:00:00+03:00,1,25.00,780
Z_RIYADH,2026-06-02T03:00:00Z,2026-06-02T06:00:00+03:00,1,18.75,540
Z_RIYADH,2026-06-02T05:00:00Z,2026-06-02T08:00:00+03:00,1,20.00,720
Z_RIYADH,2026-06-02T07:00:00Z,2026-06-02T10:00:00+03:00,1,21.25,900
Z_RIYADH,2026-06-02T09:00:00Z,2026-06-02T12:00:00+03:00,1,22.50,1080
Z_RIYADH,2026-06-02T11:00:00Z,2026-06-02T14:00:00+03:00,1,23.75,1260
Z_RIYADH,2026-06-02T13:00:00Z,2026-06-02T16:00:00+03:00,1,25.00,1440
Z_RIYADH,2026-06-02T15:00:00Z,2026-06-02T18:00:00+03:00,1,26.25,1620
Z_RIYADH,2026-06-02T17:00:00Z,2026-06-02T20:00:00+03:00,1,27.50,1800
Z_RIYADH,2026-06-03T03:00:00Z,2026-06-03T06:00:00+03:00,1,19.50,600
Z_RIYADH,2026-06-03T05:00:00Z,2026-06-03T08:00:00+03:00,1,20.75,780
Z_RIYADH,2026-06-03T07:00:00Z,2026-06-03T10:00:00+03:00,1,22.00,960
Z_RIYADH,2026-06-03T09:00:00Z,2026-06-03T12:00:00+03:00,1,23.25,1140
Z_RIYADH,2026-06-03T11:00:00Z,2026-06-03T14:00:00+03:00,1,24.50,1320
Z_RIYADH,2026-06-03T13:00:00Z,2026-06-03T16:00:00+03:00,1,25.75,1500
Z_RIYADH,2026-06-03T15:00:00Z,2026-06-03T18:00:00+03:00,1,27.00,1680
Z_RIYADH,2026-06-03T17:00:00Z,2026-06-03T20:00:00+03:00,1,28.25,1860
